dateissue,Value
13921014,88926.70
13921015,89500.60
13921016,89355.70
13921017,88749.30
13921018,88069.00
13921021,87792.70
13921022,85404.10
13921023,87112.90
13921024,87102.60
13921025,85700.60
13921028,84973.20
13921030,83641.50
13921101,83252.40
13921102,82028.80
13921105,82670.30
13921106,81905.60
13921107,80861.40
13921108,81644.40
13921109,82797.70
13921112,84164.70
13921113,83606.50
13921114,83165.00
13921115,83170.60
13921116,82214.30
13921119,81066.80
13921120,80949.50
13921121,80240.30
13921123,79136.60
13921126,79153.10
13921127,79769.20
13921128,80603.00
13921129,80435.70
13921130,80986.50
13921203,81325.00
13921204,81281.60
13921205,80849.80
13921206,80087.40
13921207,79785.50
13921210,80105.00
13921211,79584.10
13921212,78518.80
13921213,78072.60
13921214,78447.20
13921217,78231.00
13921218,77515.60
13921219,77219.50
13921220,76582.70
13921221,76583.40
13921224,77191.30
13921225,77816.20
13921226,78430.80
13921227,78968.10
13921228,79015.40
13930105,79013.50
13930106,78619.40
13930109,78239.70
13930110,78469.20
13930111,78741.30
13930116,78547.70
13930117,77634.70
13930118,77418.60
13930119,77817.50
13930120,77423.90
13930123,76501.80
13930124,74920.70
13930125,73973.40
13930126,73847.60
13930127,74161.20
13930130,73637.80
13930131,74160.00
13930201,75035.30
13930202,75735.20
13930203,75980.50
13930206,77404.10
13930207,77923.60
13930208,78131.10
13930209,78151.30
13930210,78164.30
13930213,77939.00
13930214,77569.20
13930215,77763.80
13930216,77717.30
13930217,77752.40
13930220,77931.00
13930221,77734.20
13930222,77596.40
13930224,77610.20
13930227,76901.80
13930228,76987.50
13930229,76528.90
13930230,76634.40
13930231,76767.60
13930303,76703.90
13930304,76394.20
13930305,76212.00
13930307,76067.80
13930310,75687.10
13930311,74543.40
13930312,74735.90
13930313,75102.80
13930317,75329.50
13930318,75353.50
13930319,75240.50
13930320,74836.70
13930321,74499.10
13930324,73516.00
13930325,72631.80
13930326,72748.80
13930327,72638.00
13930328,72873.10
13930331,72969.00
13930401,72900.80
13930402,72544.90
13930403,72344.40
13930404,72249.90
13930407,71662.00
13930408,70970.30
13930409,70341.50
13930410,70423.00
13930411,70876.60
13930414,72162.20
13930415,71960.20
13930416,71916.60
13930417,73025.00
13930418,73416.40
13930421,73555.90
13930422,73226.20
13930423,73347.40
13930424,73457.90
13930425,73754.20
13930429,73750.20
13930430,73890.50
13930431,74526.10
13930501,74841.60
13930504,74840.30
13930505,74848.00
13930506,74997.60
13930511,74841.00
13930512,74637.40
13930513,74709.20
13930514,74697.50
13930515,74613.80
13930518,74398.60
13930519,74398.90
13930520,74547.50
13930521,74455.10
13930522,74363.00
13930525,74051.00
13930526,73952.60
13930527,73906.80
13930528,73902.60
13930529,73905.70
13930601,73868.00
13930602,73529.50
13930603,73499.90
13930604,73540.90
13930605,73312.20
13930608,72941.80
13930609,72778.40
13930610,72339.80
13930611,72232.40
13930612,72121.50
13930615,71822.40
13930616,71665.40
13930617,71815.20
13930618,71930.10
13930619,71925.40
13930622,71486.00
13930623,71386.70
13930624,71402.30
13930625,71408.30
13930626,71443.60
13930629,71445.00
13930630,71545.30
13930631,71685.80
13930701,71726.50
13930702,71788.10
13930705,71702.20
13930706,71643.70
13930707,71675.20
13930708,71664.00
13930709,71640.50
13930712,71670.10
13930714,71821.50
13930715,71718.90
13930716,71783.70
13930719,71771.70
13930720,71791.50
13930722,71893.10
13930723,71978.60
13930726,72016.50
13930727,72281.00
13930728,73550.40
13930729,74109.10
13930730,74132.80
13930803,74152.00
13930804,73940.80
13930805,73958.90
13930806,73967.80
13930807,74151.10
13930810,75028.00
13930811,75368.60
13930814,76166.60
13930817,76420.50
13930818,76553.40
13930819,76560.80
13930820,76708.00
13930821,76589.40
13930824,75946.50
13930825,75930.80
13930826,75965.90
13930827,75409.40
13930828,75248.40
13930901,75042.60
13930902,75389.60
13930903,75949.00
13930904,74740.90
13930905,74076.10
13930908,73245.10
13930909,72189.50
13930910,72120.70
13930911,72258.50
13930912,71860.20
13930915,71712.00
13930916,71170.00
13930917,71376.60
13930918,71381.70
13930919,71043.00
13930923,70291.60
13930924,69542.60
13930925,69608.60
13930926,69494.80
13930929,69537.50
13931001,70094.40
13931003,70153.50
13931006,69705.00
13931007,69625.50
13931008,69424.00
13931009,69254.50
13931010,68973.10
