dateissue,Value
13920730,83319.60
13920801,83508.30
13920804,84290.90
13920805,83020.10
13920806,83222.10
13920807,84201.00
13920808,84209.50
13920811,84161.30
13920812,84417.90
13920813,84133.30
13920814,84747.60
13920815,85911.70
13920818,86975.30
13920819,86547.60
13920820,86645.60
13920821,86864.10
13920825,87698.20
13920826,87011.50
13920827,87435.60
13920828,88758.00
13920829,89351.20
13920902,90400.20
13920903,91888.90
13920904,93431.70
13920905,93654.70
13920906,94678.50
13920909,96530.30
13920910,97204.70
13920911,96555.40
13920912,96654.10
13920913,96951.20
13920916,97423.40
13920917,97630.70
13920918,97510.40
13920919,98825.90
13920920,99577.90
13920923,98444.80
13920924,100111.00
13920925,101836.00
13920926,101763.00
13920927,102470.00
13920930,102146.00
13921001,102273.00
13921003,103661.00
13921004,103535.00
13921007,103026.00
13921008,102947.00
13921009,102991.80
13921011,103755.30
13921014,104342.00
13921015,105040.00
13921016,105027.00
13921017,104512.00
13921018,103517.00
13921021,102993.00
13921022,99989.90
13921023,102000.00
13921024,101988.20
13921025,100028.50
13921028,98868.30
13921030,96894.70
13921101,96722.50
13921102,95126.90
13921105,95859.50
13921106,94736.00
13921107,93278.00
13921108,94363.70
13921109,96073.50
13921112,97933.30
13921113,96993.20
13921114,96369.50
13921115,96276.00
13921116,94848.10
13921119,93300.80
13921120,92925.60
13921121,91893.40
13921123,90538.20
13921126,90502.80
13921127,91385.30
13921128,92759.40
13921129,92288.90
13921130,93037.90
13921203,93589.00
13921204,93491.60
13921205,92858.60
13921206,91733.00
13921207,91267.30
13921210,91631.70
13921211,90914.10
13921212,89564.10
13921213,89152.60
13921214,89569.50
13921217,89374.70
13921218,88317.50
13921219,87921.60
13921220,87141.40
13921221,87201.70
13921224,88222.00
13921225,89074.60
13921226,90108.80
13921227,90840.00
13921228,90978.00
13930105,91055.40
13930106,90649.20
13930109,90340.50
13930110,90701.70
13930111,91102.80
13930116,90952.60
13930117,89873.20
13930118,89466.70
13930119,89991.50
13930120,89457.20
13930123,88386.60
13930124,86646.90
13930125,85292.40
13930126,85185.00
13930127,85650.40
13930130,84960.30
13930131,85695.70
13930201,86991.30
13930202,87983.00
13930203,88253.60
13930206,90201.80
13930207,90856.30
13930208,90641.90
13930209,90320.50
13930210,90276.50
13930213,89996.20
13930214,89568.40
13930215,89882.50
13930216,89810.20
13930217,89768.70
13930220,90051.30
13930221,89752.00
13930222,89560.50
13930224,89677.70
13930227,88671.40
13930228,88883.70
13930229,88501.10
13930230,88714.30
13930231,89018.70
13930303,88911.30
13930304,88422.20
13930305,88126.90
13930307,87978.20
13930310,87537.90
13930311,86160.80
13930312,86464.80
13930313,86761.80
13930317,86646.70
13930318,86733.00
13930319,86626.70
13930320,86151.20
13930321,85718.90
13930324,84471.60
13930325,83157.30
13930326,83337.00
13930327,83114.00
13930328,83560.30
13930331,83785.30
13930401,83718.10
13930402,83184.10
13930403,82830.10
13930404,82582.80
13930407,81741.80
13930408,80796.80
13930409,79937.80
13930410,80106.80
13930411,80772.60
13930414,82236.30
13930415,82187.40
13930416,82246.70
13930417,83846.90
13930418,84276.70
13930421,84323.80
13930422,84012.60
13930423,84373.70
13930424,84612.10
13930425,85023.50
13930429,84967.10
13930430,85107.30
13930431,85654.80
13930501,85948.40
13930504,85856.40
13930505,85816.30
13930506,86000.50
13930511,85632.00
13930512,85407.40
13930513,85507.50
13930514,85395.40
13930515,85137.10
13930518,84599.90
13930519,84425.10
13930520,84751.60
13930521,84595.90
13930522,84440.90
13930525,83941.90
13930526,83661.80
13930527,83639.90
13930528,83439.90
13930529,83387.60
13930601,83319.40
13930602,82816.40
13930603,82727.50
