dateissue,Value
13960908,17622.90
13960911,17654.70
13960912,17646.50
13960913,17625.20
13960914,17624.60
13960918,17650.70
13960919,17674.30
13960920,17686.50
13960921,17736.50
13960922,17748.10
13960923,17748.00
13960924,17748.00
13960925,17823.70
13960926,17835.30
13960927,17812.50
13960928,17884.20
13960929,17888.30
13961002,17972.00
13961003,18008.90
13961004,17992.60
13961005,17934.80
13961006,17880.30
13961009,17662.00
13961010,17220.10
13961011,17270.70
13961012,17165.20
13961013,17043.40
13961016,17165.00
13961017,17306.40
13961018,17377.20
13961019,17308.70
13961020,17304.00
13961023,17399.10
13961024,17410.40
13961025,17410.90
13961026,17408.10
13961027,17439.70
13961030,17447.40
13961101,17342.40
13961102,17365.00
13961103,17439.40
13961104,17513.80
13961107,17538.10
13961108,17511.10
13961109,17497.00
13961110,17518.10
13961111,17472.20
13961114,17448.70
13961115,17509.40
13961116,17612.20
13961117,17578.80
13961118,17607.30
13961121,17550.70
13961123,17630.20
13961124,17605.10
13961125,17643.90
13961128,17648.90
13961129,17610.40
13961130,17584.20
13961202,17615.30
13961205,17612.90
13961206,17549.00
13961207,17554.20
13961208,17568.20
13961209,17620.70
13961212,17664.20
13961213,17608.60
13961214,17541.00
13961215,17429.20
13961216,17312.30
13961219,17243.30
13961220,17146.70
13961221,17155.30
13961222,17165.90
13961223,17114.10
13961226,17068.00
13961227,17149.70
13961228,17271.30
13970105,17295.30
13970106,17294.10
13970107,17287.50
13970108,17323.60
13970114,17344.30
13970115,17334.40
13970118,17272.80
13970119,17075.70
13970120,16920.20
13970121,16949.80
13970122,16763.30
13970126,16677.90
13970127,16664.90
13970128,16691.20
13970129,16734.80
13970201,16794.10
13970202,16757.20
13970203,16730.60
13970204,16805.00
13970205,16836.00
13970208,16711.30
13970209,16617.40
13970210,16613.40
13970211,16610.30
13970215,16526.80
13970216,16415.30
13970217,16501.70
13970218,16638.20
13970219,16496.90
13970222,16578.00
13970223,16774.10
13970224,17022.10
13970225,17116.00
13970226,17126.40
13970229,17237.10
13970230,17298.70
13970231,17296.10
13970301,17274.80
13970302,17336.10
13970305,17371.90
13970306,17361.00
13970307,17299.20
13970308,17247.30
13970309,17244.90
13970312,17279.80
13970313,17322.20
13970319,17389.90
13970320,17435.70
13970321,17446.90
13970322,17550.70
13970323,17889.60
13970327,18287.10
13970328,18350.90
13970329,18345.40
13970330,18519.70
13970402,18702.90
13970403,18942.00
13970404,19137.20
13970405,18922.60
13970406,18703.70
13970409,18747.00
13970410,18561.00
13970411,18625.40
13970412,18730.60
13970413,18705.10
13970416,18665.70
13970417,18592.10
13970419,18527.90
13970420,18332.20
13970423,18383.30
13970424,18348.00
13970425,18322.50
13970426,18326.10
13970427,18289.80
13970430,18404.30
13970431,18438.50
13970501,18282.90
13970502,18270.70
13970503,18282.20
13970504,18282.20
13970505,18282.20
13970506,18349.70
13970507,18345.60
13970508,18364.80
13970509,18830.80
13970510,18936.50
13970513,18784.60
13970514,18885.00
13970515,18942.50
13970516,18949.90
13970517,18913.30
13970520,18900.50
13970521,18978.00
13970522,19014.60
13970523,19091.90
13970524,19135.50
13970527,19421.10
13970528,19689.10
13970529,19905.90
13970530,20050.90
13970603,20436.60
13970604,20864.00
13970605,21090.70
13970606,21127.10
13970607,21355.10
13970610,21660.20
13970611,21628.50
13970612,21725.00
13970613,21976.80
13970614,22189.10
13970617,22798.30
13970618,23436.70
13970619,24134.00
13970620,24598.00
13970621,25341.80
13970624,25976.50
13970625,25855.00
13970626,26557.00
13970627,27104.10
13970631,27930.50
13970701,28724.40
13970702,29347.30
13970703,30417.60
13970704,31454.90
13970707,32618.10
13970708,33866.20
13970709,34007.30
13970710,33049.80
13970711,32226.40
13970714,31708.70
13970715,30805.50
13970716,30189.80
13970717,29988.80
13970718,29439.30
13970721,28740.10
13970722,28450.10
13970723,28717.60
13970724,29006.30
13970725,28684.30
13970728,29359.50
13970729,29312.60
13970730,28941.50
13970801,28329.50
13970802,27752.40
13970805,27381.40
13970806,27554.60
13970807,28096.80
13970809,28306.70
13970812,28126.60
13970813,27900.80
13970814,28250.00
13970815,28446.10
13970819,28495.50
13970820,28180.30
13970821,28482.20
13970822,28674.60
13970823,28544.10
13970826,28305.90
13970827,27751.90
13970828,27922.60
13970829,27977.40
13970830,28164.70
13970903,27967.50
13970905,27459.20
13970906,27499.60
13970907,27237.30
13970910,26622.80
13970911,26883.20
13970912,27176.50
13970913,27123.00
13970914,27441.40
13970917,27736.10
13970918,27755.00
13970919,27714.60
13970920,27714.30
13970921,27743.30
13970924,27652.20
13970925,27333.90
13970926,27179.20
13970927,26962.80
13970928,26636.80
13971001,26612.90
13971002,26910.30
13971003,27021.10
13971004,27012.80
13971005,27254.70
13971008,27474.70
13971009,27584.80
13971010,27767.90
13971011,27986.30
13971012,27935.90
13971015,27905.20
13971016,27924.10
13971017,28106.00
13971018,28255.40
13971019,28434.50
13971022,28626.40
13971023,28803.60
13971024,28983.80
13971025,29197.50
13971026,29291.80
13971029,29451.20
13971030,29335.00
13971101,28716.70
13971102,28985.40
13971103,29311.30
13971106,29483.10
13971107,29513.30
13971108,29514.30
13971109,29629.00
13971110,29835.70
13971113,29790.80
13971114,29305.00
13971115,29437.20
13971116,29428.30
13971117,29597.50
13971121,29692.50
13971123,29756.80
13971124,29717.00
13971127,29692.90
13971128,29460.80
13971129,29638.60
13971130,29756.40
13971201,29878.00
13971204,30153.00
13971205,30271.50
13971206,30402.50
13971207,30317.90
13971208,30614.90
13971211,30723.30
13971212,30877.30
13971213,30906.20
13971214,30823.90
13971215,30860.80
13971218,30843.50
13971219,31105.50
13971220,31322.70
13971221,31407.10
13971222,31589.20
13971225,31886.10
13971226,32158.40
13971227,32560.40
13971228,32968.70
13980105,33390.90
13980106,34034.10
13980107,34406.10
13980110,35084.10
13980111,35367.90
13980117,36028.00
13980118,36618.20
13980119,36743.50
13980120,37181.30
13980121,38177.50
13980124,38860.50
13980125,39112.50
13980126,39979.30
13980127,39734.70
13980128,39462.70
13980131,40652.60
13980202,40747.30
13980203,40590.60
13980204,41107.40
13980207,41858.80
13980208,42577.00
13980209,43476.70
13980210,43878.50
13980211,44651.40
13980214,45887.70
13980215,46101.00
13980216,44816.60
13980217,43264.80
13980218,43336.90
13980221,43926.90
13980222,43037.40
13980223,43882.30
13980224,45231.20
13980225,45737.70
13980228,46748.10
13980229,47148.30
13980230,46748.50
13980231,47534.90
13980301,48131.20
13980304,48443.80
13980305,49698.30
13980307,50801.00
13980308,51264.00
13980311,51131.90
13980312,52306.90
13980313,53600.10
13980318,54441.50
13980319,55976.20
13980320,56866.50
13980321,57259.10
13980322,58131.90
13980325,57972.60
13980326,58177.30
13980327,57335.60
13980328,57160.90
13980329,56261.30
13980401,55332.80
13980402,56440.90
13980403,57710.60
13980404,57996.30
13980405,58363.80
13980409,58590.40
13980410,58493.40
13980411,59206.80
13980412,59872.70
13980415,59508.60
13980416,60055.80
13980417,61316.60
13980418,61430.30
13980419,61809.40
13980422,61878.70
13980423,62304.80
13980424,61952.00
13980425,60085.00
13980426,59959.10
13980429,59742.30
13980430,60130.80
13980431,60369.20
13980501,59539.60
13980502,59945.20
13980505,60446.30
13980506,60675.30
13980507,60656.80
13980508,61200.20
13980509,62016.00
13980512,62612.90
13980513,63575.10
13980514,64542.10
13980515,64816.80
13980516,65331.30
13980519,65886.70
13980520,66443.00
13980522,67165.20
13980523,68272.70
13980526,68939.90
13980527,69320.60
13980528,70465.90
13980530,72125.40
13980602,73890.60
13980603,73720.80
13980604,75937.70
13980605,77068.10
13980606,76915.40
13980609,78098.40
13980610,78191.40
13980611,76998.40
13980612,77451.80
13980613,79204.00
13980616,80888.00
13980617,82112.70
13980620,83499.80
13980623,85206.20
13980624,85258.10
13980625,86859.20
13980626,86368.60
13980627,84247.40
13980630,85766.70
13980631,87852.40
13980701,90018.30
13980702,90351.00
13980703,91550.90
13980706,93964.60
13980707,94167.40
13980708,96196.50
13980709,96824.90
13980710,96407.90
13980713,97377.00
13980714,95424.20
13980715,95477.90
13980716,93055.40
13980717,91300.30
13980720,93061.10
13980721,92602.60
13980722,89747.60
13980723,86775.60
13980724,84648.40
13980728,82094.30
13980729,80425.40
13980730,81993.40
13980801,80824.20
13980804,80162.00
13980806,81948.70
13980808,84561.70
13980811,85096.10
13980812,86104.70
13980813,85316.30
13980814,85689.00
13980818,86251.90
13980819,85339.50
13980820,86113.70
13980821,87765.40
13980822,88451.90
13980825,88217.70
13980826,85436.80
13980827,85222.90
13980828,86802.10
13980829,87779.50
13980902,88615.80
13980903,89307.40
13980904,91469.60
13980905,92373.80
13980906,92881.20
13980909,94820.00
13980910,96517.80
13980911,96617.20
13980912,97475.10
13980913,99312.10
13980916,101062.00
13980917,102799.00
13980918,104179.00
13980919,105122.00
13980920,105201.00
13980923,107183.00
13980924,107731.00
13980925,108598.00
13980926,110243.00
13980927,110906.00
13980930,111891.00
13981001,112856.00
13981002,112604.00
13981003,113581.00
13981004,114298.00
13981007,117166.00
13981008,118170.00
13981009,120359.00
13981010,119970.00
13981011,121488.00
13981014,116690.00
13981015,113151.00
13981017,109600.00
13981018,108173.00
13981021,109974.00
13981022,114555.00
13981023,118924.00
13981024,120589.00
13981025,122016.00
13981028,126014.00
13981029,126787.00
13981030,128090.00
13981101,129420.00
13981102,131850.00
13981105,135541.00
13981106,137333.00
13981107,138235.00
13981108,139961.00
13981112,140201.00
13981113,141862.00
13981114,145542.00
13981115,145049.00
13981116,146571.00
13981119,147116.00
13981120,147472.00
13981121,145326.00
13981123,148930.00
13981126,150032.00
13981127,152458.00
13981128,152696.00
13981129,152187.00
13981130,155685.00
13981203,157219.00
13981204,163322.00
13981205,166233.00
13981206,170944.00
13981207,173298.00
13981210,169585.00
13981211,174470.00
13981212,178939.00
13981213,182996.00
13981214,186266.00
13981217,184501.00
13981219,180970.00
13981220,177929.00
13981221,178973.00
13981224,175731.00
13981225,172406.00
13981226,174668.00
13981227,173784.00
13981228,177080.00
13990105,178650.00
13990106,183478.00
13990109,188690.00
13990110,193974.00
13990111,195202.00
13990116,200892.00
13990117,204359.00
13990118,205021.00
13990119,209284.00
13990120,213791.00
13990123,215495.00
13990124,219754.00
13990125,219680.00
13990126,219152.00
13990127,225558.00
13990130,233526.00
13990131,238107.00
13990201,242263.00
13990202,246160.00
13990203,252056.00
13990206,261085.00
13990207,267461.00
13990208,271768.00
13990209,276644.00
13990210,285667.00
13990213,297958.00
13990214,310017.00
13990215,312075.00
13990216,310376.00
13990217,308134.00
13990220,319380.00
13990221,324873.00
13990222,324757.00
13990223,318217.00
13990224,316055.00
13990227,310164.00
13990228,306682.00
13990229,314451.00
13990230,321158.00
13990231,322025.00
13990303,318281.00
13990306,312466.00
13990307,312048.00
13990310,318896.00
13990311,318287.00
13990312,321410.00
13990313,330490.00
13990317,340846.00
13990318,353917.00
13990319,356649.00
13990320,359090.00
13990321,368095.00
13990324,378122.00
13990325,380575.00
13990326,389333.00
13990327,398750.00
13990331,409243.00
13990401,411210.00
13990402,419318.00
13990403,430443.00
13990404,432005.00
13990407,441614.00
13990408,440168.00
13990409,434752.00
13990410,453037.00
13990411,466345.00
13990414,464525.00
13990415,469920.00
13990416,483362.00
13990417,483000.00
13990418,478682.00
13990421,471273.00
13990422,485888.00
13990423,482360.00
13990424,480860.00
13990425,481194.00
13990428,487827.00
13990429,501196.00
13990430,512473.00
13990431,507609.00
13990501,503119.00
13990504,509745.00
13990505,507048.00
13990506,503122.00
13990507,506984.00
13990508,507191.00
13990511,518127.00
13990512,526885.00
13990513,525879.00
13990514,527618.00
13990515,531857.00
13990519,533445.00
13990520,524830.00
13990521,514412.00
13990522,512004.00
13990525,501187.00
13990526,490564.00
13990527,487751.00
13990528,491456.00
